id	user_id	date	created_at	is_retweet	is_quote	likes	retweets	hashtags	mentions	text
1249650504155770881	202086424	13/04/2020	2020-04-13 10:47:52	0	0	2006	412	ZbrodniaKatyńska	-	"Dzisiaj Dzień Pamięci Ofiar Zbrodni Katyńskiej. 
Katyń to dla Polaków walka o Prawdę i Pamięć. Wolna i suwerenna Rzeczpospolita oddaje hołd Ofiarom zbrodni sowieckiej. 
Cześć i chwała Bohaterom! Wieczna pamięć poległym za Niepodległą!
80. rocznica #ZbrodniaKatyńska. https://t.co/7Uc1cTnKEk"
1249271650471890944	202086424	12/04/2020	2020-04-12 09:42:26	0	0	7156	736	-	-	Wszystkim Państwu składamy, razem z Agatą, najserdeczniejsze życzenia z okazji trwających Świąt Wielkanocnych. Niech ten szczególny w roku czas, choć tak inny niż zawsze dotąd, będzie dla Was i Waszych Rodzin spokojny, kojący zmartwienia i przepełniający wiarą w zwycięstwo Dobra!
1248912411840700416	202086424	11/04/2020	2020-04-11 09:54:57	0	0	2220	249	-	-	Niestety otrzymaliśmy dziś smutną wiadomość. Odszedł nagle ks. Stanisław Jurczuk - Prezes Karolickiego Stowarzyszenia Niepełnosprawnych Archidiecezji Warszawskiej, Członek Narodowej Rady Rozwoju. Człowiek silnej wiary i silnej woli. Całym sercem pomagał innym. RiP.
1248613981008187392	202086424	10/04/2020	2020-04-10 14:09:05	0	0	983	121	NeverForget	GitanasNauseda, prezydentpl	@GitanasNauseda @prezydentpl Szanowny Panie Prezydencie, bardzo dziękuję za wzruszający gest pamięci i modlitwę za ofiary tragedii smoleńskiej i zbrodni katyńskiej u stóp Matki Bożej Ostrobramskiej. Przyjmujemy to jako wyraz przyjaźni i braterstwa. Niech Wam Bóg błogosławi! #NeverForget
1248592858036215808	202086424	10/04/2020	2020-04-10 12:45:09	0	0	380	45	Smolensk, Katyn, NeverForget	GitanasNauseda, prezydentpl	@GitanasNauseda @prezydentpl Dear Mr. President, thank you very much for a touching gesture of memory and prayer for the victims of the #Smolensk tragedy and the #Katyn massacre. We accept this as an expression of friendship and brotherhood. God bless you! #NeverForget
1248505235435212806	202086424	10/04/2020	2020-04-10 06:56:58	0	0	5346	919	-	-	10 lat temu Prrzydent RP Prof. Lech Kaczyński wraz z Pierwszą Damą Marią Kaczyńską oraz 94 polskimi Patriotami zginęli lecąc do Katynia, by oddać hołd pomordowanym bestrialsko polskim Oficerom, w 7O rocznicę sowieckiej zbrodni. Pamiętamy. Nie zapomnimy. Cześć Ich pamięci!
